_id;tipo_di_partita;squadra_in_casa;squadra_in_trasferta;datetime_kick_off;gol_segnati_casa;gol_segnati_trasferta;rigori_finali_segnati_casa;rigori_finali_segnati_trasferta;nome_partita;kick_off_day;datetime_kick_off_string;kick_off_day_string;percentuale_possesso_palla_casa;percentuale_possesso_palla_trasferta;gol_totale_casa;gol_totale_trasferta;tiri_totale_casa;tiri_totale_trasferta;tiri_in_porta_casa;tiri_in_porta_trasferta;ammonizioni_casa;ammonizioni_trasferta;espulsioni_casa;espulsioni_trasferta;falli_subiti_casa;falli_subiti_trasferta;fuorigioco_casa;fuorigioco_trasferta;passaggi_casa;passaggi_trasferta;passaggi_completati_casa;passaggi_completati_trasferta;cross_casa;cross_trasferta;cross_completati_casa;cross_completati_trasferta;corner_casa;corner_trasferta;calci_piazzati_casa;calci_piazzati_trasferta;rigori_segnati_casa;rigori_segnati_trasferta;gol_trasferta_1;gol_trasferta_2;gol_casa_1;gol_casa_2;gol_casa_3;gol_casa_4;gol_casa_5;gol_casa_6;gol_casa_7;cartellino_rosso_casa_1;gol_trasferta_3;gol_trasferta_4;Negativo;Neutro;Positivo;total_tweets;Rank casa;Rank ospite;Punti Rank casa;Punti Rank ospite
63b835f072176b118ed982fe;Group D;FRANCE;DENMARK;2022-11-26 17:00:00;2;1;0;0;FRANCE-DENMARK;2022-11-26;2022-11-26 17:00:00;2022-11-26;44;44;2;1;21;10;6;2;1;2;0;0;4;9;1;1;503;537;437;473;23;18;12;4;6;4;10;5;0;0;Andreas CHRISTENSEN;;Kylian MBAPPE;Kylian MBAPPE;;;;;;;;;171;361;468;1000;4;10;1764.85;1665.47
63b835f072176b118ed982ff;Group C;ARGENTINA;MEXICO;2022-11-26 20:00:00;2;0;0;0;ARGENTINA-MEXICO;2022-11-26;2022-11-26 20:00:00;2022-11-26;50;36;2;0;5;4;2;1;1;4;0;0;15;19;2;4;533;356;464;287;14;17;2;4;4;2;23;17;0;0;;;Lionel MESSI;Enzo FERNANDEZ;;;;;;;;;274;364;362;1000;3;13;1770.65;1649.57
63b835f172176b118ed98300;Group E;JAPAN;COSTA RICA;2022-11-27 11:00:00;0;1;0;0;JAPAN-COSTA RICA;2022-11-27;2022-11-27 11:00:00;2022-11-27;48;39;0;1;14;4;3;1;3;3;0;0;22;9;0;2;575;444;510;371;17;5;1;0;5;0;11;22;0;0;Keysher FULLER;;;;;;;;;;;;192;343;465;1000;24;31;1554.69;1500.06
63b835f172176b118ed98301;Group F;BELGIUM;MOROCCO;2022-11-27 14:00:00;0;2;0;0;BELGIUM-MOROCCO;2022-11-27;2022-11-27 14:00:00;2022-11-27;56;32;0;2;10;11;4;4;1;1;0;0;10;14;3;3;671;317;598;275;19;9;3;4;9;1;17;13;0;0;Romain SAISS;Zakaria ABOUKHLAL;;;;;;;;;;;137;390;473;1000;2;22;1821.92;1558.35
63b835f172176b118ed98302;Group F;CROATIA;CANADA;2022-11-27 17:00:00;4;1;0;0;CROATIA-CANADA;2022-11-27;2022-11-27 17:00:00;2022-11-27;41;46;4;1;13;9;10;2;2;2;0;0;13;5;1;3;462;511;391;434;22;15;5;5;5;2;8;14;0;0;Alphonso DAVIES;;Andrej KRAMARIC;Marko LIVAJA;Andrej KRAMARIC;Lovro MAJER;;;;;;;139;378;483;1000;12;41;1632.15;1473.82
63b835f272176b118ed98303;Group E;SPAIN;GERMANY;2022-11-27 20:00:00;1;1;0;0;SPAIN-GERMANY;2022-11-27;2022-11-27 20:00:00;2022-11-27;56;33;1;1;7;10;3;4;1;3;0;0;13;11;2;5;647;352;565;281;9;13;2;1;6;5;16;15;0;0;Niclas FUELLKRUG;;Alvaro MORATA;;;;;;;;;;211;389;400;1000;7;11;1716.93;1658.96
63b835f272176b118ed98304;Group G;CAMEROON;SERBIA;2022-11-28 11:00:00;3;3;0;0;CAMEROON-SERBIA;2022-11-28;2022-11-28 11:00:00;2022-11-28;38;49;3;3;13;16;8;6;2;2;0;0;8;13;0;4;364;513;271;433;20;23;1;4;4;3;17;8;0;0;Strahinja PAVLOVIC;Sergej MILINKOVIC-SAVIC;Jean-Charles CASTELLETTO;Vincent ABOUBAKAR;Eric Maxim CHOUPO-MOTING;;;;;;Aleksandar MITROVIC;;262;333;405;1000;43;21;1484.95;1549.53
63b835f272176b118ed98305;Group H;KOREA REPUBLIC;GHANA;2022-11-28 14:00:00;2;3;0;0;KOREA-GHANA;2022-11-28;2022-11-28 14:00:00;2022-11-28;53;32;2;3;21;8;6;3;2;2;0;0;13;9;1;1;540;319;477;260;46;13;16;4;12;5;10;14;0;0;Mohammed SALISU;Kudus MOHAMMED;CHO Guesung;CHO Guesung;;;;;;;Kudus MOHAMMED;;229;300;471;1000;28;61;1526.02;1393.47
63b835f372176b118ed98306;Group G;BRAZIL;SWITZERLAND;2022-11-28 17:00:00;1;0;0;0;BRAZIL-SWITZERLAND;2022-11-28;2022-11-28 17:00:00;2022-11-28;51;40;1;0;9;4;5;0;1;1;0;0;10;17;3;1;565;488;498;415;26;11;3;3;8;3;18;13;0;0;;;CASEMIRO;;;;;;;;;;157;440;403;1000;1;15;1837.56;1621.43
63b835f372176b118ed98307;Group H;PORTUGAL;URUGUAY;2022-11-28 20:00:00;2;0;0;0;PORTUGAL-URUGUAY;2022-11-28;2022-11-28 20:00:00;2022-11-28;53;35;2;0;14;10;4;3;3;2;0;0;10;16;2;0;596;390;517;306;16;18;4;5;6;2;15;13;1;0;;;BRUNO FERNANDES;BRUNO FERNANDES;;;;;;;;;255;378;367;1000;9;14;1678.65;1640.95
63b835f372176b118ed98308;Group A;NETHERLANDS;QATAR;2022-11-29 16:00:00;2;0;0;0;NETHERLANDS-QATAR;2022-11-29;2022-11-29 16:00:00;2022-11-29;54;38;2;0;13;6;4;4;1;0;0;0;19;9;4;0;795;459;740;394;11;16;1;4;4;2;9;24;0;0;;;Cody GAKPO;Frenkie DE JONG;;;;;;;;;49;231;348;628;8;50;1679.41;1441.97
63b835f472176b118ed98309;Group A;ECUADOR;SENEGAL;2022-11-29 16:00:00;1;2;0;0;ECUADOR-SENEGAL;2022-11-29;2022-11-29 16:00:00;2022-11-29;51;32;1;2;8;15;4;5;0;1;0;0;23;11;0;3;432;269;353;198;19;20;6;5;3;6;14;22;0;1;Ismaila SARR;Kalidou KOULIBALY;Moises CAICEDO;;;;;;;;;;208;383;409;1000;44;18;1463.74;1584.59
63b835f472176b118ed9830a;Group B;WALES;ENGLAND;2022-11-29 20:00:00;0;3;0;0;WALES-ENGLAND;2022-11-29;2022-11-29 20:00:00;2022-11-29;33;58;0;3;7;17;1;7;2;0;0;0;16;9;1;1;325;588;261;529;4;17;1;7;1;6;10;17;0;0;Marcus RASHFORD;Phil FODEN;;;;;;;;;Marcus RASHFORD;;171;393;436;1000;19;5;1582.13;1737.46
